FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
53,1,1,84.00,34.13,30.15,29.92,30.38,30.98,36.77,33.26,33.76,46.94,1420,1420,1420,1420,1670,1670,1670,1516,58.10,37.00,-1,82,39.00,0,4.291
60,0,0,16.98,37.34,37.78,34.92,40.15,36.09,50.36,38.73,26.09,36.43,1420,1420,1420,1420,1670,1670,1670,1401,58.50,36.00,-1,82,39.00,0,4.284
60,0,0,16.98,35.60,28.92,30.00,29.87,28.40,56.18,27.85,30.23,50.57,1804,1804,1804,1804,1766,1766,1766,2073,60.10,37.00,-1,82,39.00,0,4.284
52,0,0,33.65,38.76,27.27,29.25,30.19,29.63,46.02,40.18,36.84,67.83,1420,1420,1420,1420,1670,1670,1670,844,59.70,33.00,-1,82,39.00,0,4.284
52,0,0,33.65,40.43,41.46,38.46,39.24,32.05,34.15,29.76,26.25,78.16,1420,1420,1420,1420,1670,1670,1670,1747,58.50,33.00,-1,82,39.00,0,4.284
59,0,0,16.92,34.06,25.47,26.26,33.64,32.73,37.93,18.35,24.07,71.93,1420,1420,1420,1420,1670,1670,1670,1632,58.90,38.00,-1,82,39.00,0,4.284
59,0,0,16.92,37.46,37.04,39.53,34.62,34.57,32.56,51.16,27.06,42.53,1420,1420,1420,1420,1670,1670,1670,1747,58.50,36.00,-1,82,39.00,0,4.3
59,0,0,16.95,35.51,36.36,30.10,33.65,35.24,28.97,24.30,29.73,66.06,1420,1420,1420,1420,1670,1670,1670,1747,58.90,32.00,-1,82,39.00,0,4.3
59,0,0,16.95,38.77,24.39,25.64,30.00,27.71,52.38,49.45,36.78,61.18,1420,1420,1420,1420,1670,1670,1670,2073,60.10,34.00,-1,82,39.00,0,4.3
58,0,0,33.62,35.89,31.78,25.51,28.28,32.08,32.43,29.46,23.85,76.32,1420,1420,1420,1420,1670,1670,1670,1747,59.70,29.00,-1,82,39.00,0,4.3
58,0,0,33.62,33.73,32.95,30.77,31.65,25.61,28.24,21.59,18.52,80.46,1420,1420,1420,1420,1670,1670,1670,1747,58.50,35.00,-1,82,39.00,0,4.3
60,0,0,17.11,36.91,35.71,30.61,35.29,33.65,29.82,29.46,28.95,71.43,1420,1420,1420,1420,1670,1670,1670,1747,58.90,34.00,-1,82,39.00,0,4.292
60,0,0,17.11,44.53,33.33,30.38,32.89,40.24,57.65,45.24,50.00,62.79,1420,1420,1420,1420,1670,1670,1670,1747,60.10,28.00,-1,82,39.00,0,4.292
42,0,0,50.40,49.42,50.00,35.64,38.61,42.99,46.79,53.91,43.12,81.58,1420,1420,1420,1420,1766,1766,1766,2073,60.80,22.00,-1,82,39.00,0,4.292
42,0,0,50.40,52.23,50.55,47.50,41.56,47.06,57.14,43.37,54.65,73.56,1420,1420,1420,1420,1766,1766,1766,1747,63.20,36.00,-1,82,39.00,0,4.292
52,1,0,67.20,64.11,56.91,52.14,49.11,52.63,85.71,71.07,72.80,72.58,1420,1420,1420,1420,1766,1766,1766,1747,65.50,35.00,-1,82,39.00,0,4.292
52,1,0,67.20,54.23,41.10,41.67,40.00,40.54,64.56,62.50,60.76,75.00,1804,1804,1804,1804,1766,1766,1766,2073,63.60,40.00,-1,82,39.00,0,4.292
55,1,0,50.44,57.22,46.90,43.12,44.95,42.99,69.30,63.03,60.33,82.61,1420,1420,1420,1420,1766,1766,1766,1747,62.80,38.00,-1,82,39.00,0,4.236
55,1,0,50.44,48.34,39.24,39.24,43.04,42.68,54.65,52.33,52.27,65.12,1420,1420,1420,1420,1670,1670,1670,1747,62.00,40.00,-1,82,39.00,0,4.236
60,0,0,16.91,45.81,43.36,37.96,39.45,39.81,37.07,42.15,40.17,84.21,1420,1420,1420,1420,1670,1670,1670,1747,61.20,46.00,-1,82,39.00,0,4.236
60,0,0,16.91,41.88,35.29,32.91,36.71,33.73,37.65,35.96,37.93,85.88,1420,1420,1420,1420,1670,1670,1670,1747,61.20,50.00,-1,82,39.00,0,4.236
59,0,0,33.61,52.97,45.45,43.93,46.30,44.55,55.56,51.35,52.17,82.76,1420,1420,1420,1420,1670,1670,1670,1747,61.20,47.00,-1,82,39.00,0,4.236
59,0,0,33.61,53.01,42.86,45.68,41.77,40.26,59.76,60.67,61.63,68.67,1420,1420,1420,1420,1670,1670,1670,1747,62.00,42.00,-1,82,39.00,0,4.243
57,0,0,33.61,52.99,46.96,42.31,39.81,49.11,62.39,53.91,52.50,72.65,1420,1420,1420,1420,1766,1766,1766,844,62.80,44.00,-1,82,39.00,0,4.243
57,0,0,33.61,47.15,34.62,35.53,36.49,35.00,63.86,52.94,57.78,54.22,1420,1420,1420,1420,1670,1670,1670,1747,61.60,45.00,-1,82,39.00,0,4.243
57,0,0,33.73,53.35,48.65,44.23,42.99,42.59,62.60,52.68,50.86,82.14,1420,1420,1420,1420,1670,1670,1670,1747,62.40,48.00,-1,82,39.00,0,4.243
57,0,0,33.73,50.37,42.50,40.51,44.44,43.37,62.07,56.82,51.16,59.09,1420,1420,1420,1420,1766,1766,1766,844,62.40,46.00,-1,82,39.00,0,4.243
57,1,0,50.43,49.33,43.24,44.14,42.16,43.36,48.70,48.76,46.55,76.72,1420,1420,1420,1420,1670,1670,1670,1747,61.60,46.00,-1,82,39.00,0,4.268
57,1,0,50.43,43.84,42.05,34.21,33.75,33.33,48.35,35.96,39.77,80.90,1420,1420,1420,1420,1670,1670,1670,1747,61.20,48.00,-1,82,39.00,0,4.268
36,3,1,151.20,59.29,50.00,41.18,41.41,52.34,69.37,66.67,68.70,79.82,1420,1420,1420,1420,1670,1670,1670,1747,64.00,33.00,-1,82,39.00,0,4.268
36,3,1,151.20,53.24,42.22,42.50,38.46,38.27,60.92,61.63,62.22,75.58,1420,1420,1420,1420,1766,1766,1766,844,65.90,44.00,-1,82,39.00,0,4.268
58,0,0,33.68,52.55,44.35,42.45,40.38,43.12,66.13,61.21,65.22,53.91,1420,1420,1420,1420,1670,1670,1670,1747,62.40,51.00,-1,82,39.00,0,4.268
58,0,0,33.68,50.23,48.19,42.86,36.49,41.98,54.76,47.19,49.41,79.52,1420,1420,1420,1420,1670,1670,1670,1747,62.40,43.00,-1,82,39.00,0,4.263
53,2,0,67.23,53.59,46.73,42.16,43.14,44.44,60.55,62.50,57.76,67.86,1420,1420,1420,1420,1670,1670,1670,1747,63.20,41.00,-1,82,39.00,0,4.263
53,2,0,67.23,50.07,40.24,42.35,38.55,38.27,53.93,57.78,62.79,64.44,1420,1420,1420,1420,1766,1766,1766,844,62.80,43.00,-1,82,39.00,0,4.263
52,0,0,33.70,50.99,42.99,41.67,41.67,40.54,53.51,48.72,56.56,76.47,1420,1420,1420,1420,1670,1670,1670,1747,62.80,37.00,-1,82,39.00,0,4.263
52,0,0,33.70,68.14,63.41,67.90,74.07,60.49,68.67,65.48,63.10,86.75,1804,1804,1804,1804,1766,1766,1766,2073,64.00,37.00,-1,82,39.00,0,4.263
46,0,0,33.77,64.86,75.68,58.56,55.75,61.74,62.30,55.26,64.10,86.32,1516,1516,1516,1516,1766,1766,1766,2073,64.30,40.00,-1,82,39.00,0,4.263
46,0,0,33.77,52.15,42.50,38.46,41.03,37.18,60.00,52.33,54.22,84.71,1804,1804,1804,1804,1766,1766,1766,2073,64.30,43.00,-1,82,39.00,0,4.236
43,1,0,50.41,56.11,46.23,47.75,39.81,45.05,64.10,62.39,58.97,80.17,1420,1420,1420,1420,1766,1766,1766,844,63.60,37.00,-1,82,39.00,0,4.236
43,1,0,50.41,52.37,40.24,40.51,40.96,37.97,63.86,55.00,58.33,82.14,1804,1804,1804,1804,1766,1766,1766,2073,64.00,37.00,-1,82,39.00,0,4.236
42,0,0,33.83,55.91,39.00,45.71,44.12,41.90,60.71,60.87,61.74,85.96,1804,1804,1804,1804,1766,1766,1766,2073,64.00,39.00,-1,82,39.00,0,4.236
42,0,0,33.83,65.48,59.77,56.79,66.67,56.63,68.60,66.28,65.52,84.88,1420,1420,1420,1420,1766,1766,1766,2073,65.10,39.00,-1,82,39.00,0,4.236
39,0,0,33.70,60.76,57.41,50.49,55.34,59.80,63.39,63.96,61.40,72.57,1804,1804,1804,1804,1766,1766,1766,2073,64.30,34.00,-1,82,39.00,0,4.159
39,0,0,33.70,60.71,53.66,58.54,58.14,58.33,58.82,59.77,59.09,78.89,1420,1420,1420,1420,1670,1670,1670,1401,64.00,34.00,-1,82,39.00,0,4.159
41,2,0,50.41,69.98,72.07,71.05,66.67,73.39,66.09,64.04,68.97,77.78,1420,1420,1420,1420,1766,1766,1766,2073,65.10,39.00,-1,82,39.00,0,4.159
41,2,0,50.41,64.86,67.47,61.04,63.75,64.94,60.00,57.65,59.52,85.37,1516,1516,1516,1516,1766,1766,1766,2073,65.10,39.00,-1,82,39.00,0,4.159
48,0,0,33.66,63.67,59.81,63.06,62.04,64.04,58.77,51.79,57.26,91.38,1420,1420,1420,1420,1766,1766,1766,2073,65.10,45.00,-1,82,39.00,0,4.159
48,0,0,33.66,63.73,59.74,58.23,65.43,68.75,59.26,60.24,59.04,76.54,1420,1420,1420,1420,1670,1670,1670,1747,64.70,45.00,-1,82,39.00,0,4.159
47,0,0,33.71,53.05,47.32,40.37,48.25,47.75,53.57,46.43,48.28,89.92,1804,1804,1804,1804,1766,1766,1766,2073,64.30,43.00,-1,82,39.00,0,4.219
47,0,0,33.71,53.31,53.01,45.33,44.74,46.75,57.83,43.21,47.44,87.65,1804,1804,1804,1804,1766,1766,1766,2073,64.30,43.00,-1,82,39.00,0,4.219
44,1,0,50.36,51.07,43.36,41.90,40.19,44.12,53.91,51.30,50.00,81.90,1420,1420,1420,1420,1766,1766,1766,1747,64.30,36.00,-1,82,39.00,0,4.219
44,1,0,50.36,51.10,43.04,36.84,41.33,41.56,56.10,55.56,58.02,72.29,1804,1804,1804,1804,1766,1766,1766,2073,64.30,36.00,-1,82,39.00,0,4.219
46,0,0,33.81,69.32,65.52,64.86,68.42,65.52,65.52,67.77,68.91,89.17,1420,1420,1420,1420,1670,1670,1670,1747,65.50,43.00,-1,82,39.00,0,4.219
46,0,0,33.81,65.89,68.92,59.72,61.97,68.06,61.54,60.53,56.76,84.62,1804,1804,1804,1804,1766,1766,1766,2073,64.70,43.00,-1,82,39.10,0,4.215
46,0,0,33.69,67.95,71.79,63.72,68.52,67.89,61.74,55.17,64.41,91.23,1516,1516,1516,1516,1766,1766,1766,2073,65.50,42.00,-1,82,39.10,0,4.215
46,0,0,33.69,63.30,61.04,58.97,61.25,67.50,61.63,58.14,50.59,87.95,1420,1420,1420,1420,1670,1670,1670,1747,64.00,42.00,-1,82,39.10,0,4.215
45,0,0,33.67,65.86,65.45,62.96,63.96,67.54,63.79,59.17,60.68,82.61,1804,1804,1804,1804,1766,1766,1766,2073,65.50,37.00,-1,82,39.10,0,4.215
45,0,0,33.67,58.35,59.26,58.97,57.14,63.29,56.10,50.57,48.81,74.71,1420,1420,1420,1420,1670,1670,1670,1747,64.00,41.00,-1,82,39.10,0,4.215
46,0,0,33.67,53.28,53.70,49.53,50.48,55.45,48.15,40.00,41.12,84.21,1420,1420,1420,1420,1670,1670,1670,1747,63.20,36.00,-1,82,39.10,0,4.26
46,0,0,33.67,47.27,39.02,35.90,39.02,38.75,54.12,48.24,46.99,76.19,1420,1420,1420,1420,1766,1766,1766,844,63.60,36.00,-1,82,39.10,0,4.26
52,0,0,33.66,55.98,45.79,41.51,58.18,44.86,59.48,57.26,56.78,81.90,1804,1804,1804,1804,1766,1766,1766,2073,64.00,46.00,-1,82,39.10,0,4.26
52,0,0,33.66,47.43,34.18,32.00,29.87,35.44,61.45,52.38,53.09,75.29,1804,1804,1804,1804,1766,1766,1766,2073,63.60,48.00,-1,82,39.10,0,4.26
49,0,0,33.64,50.85,42.59,40.00,44.25,48.15,53.57,52.73,44.14,78.76,1420,1420,1420,1420,1670,1670,1670,1747,63.20,42.00,-1,82,39.10,0,4.26
49,0,0,33.64,53.52,45.12,39.47,37.50,44.87,57.47,54.88,54.65,88.51,1420,1420,1420,1420,1670,1670,1670,1747,64.00,38.00,-1,82,39.10,0,4.25
50,0,0,33.82,50.61,35.71,37.61,36.70,43.24,64.66,50.00,48.25,85.96,1420,1420,1420,1420,1766,1766,1766,1747,64.70,44.00,-1,82,39.10,0,4.25
50,0,0,33.82,57.39,46.75,44.16,48.75,50.00,65.06,58.02,62.20,84.34,1420,1420,1420,1420,1670,1670,1670,1747,64.30,47.00,-1,82,39.10,0,4.25
51,0,0,33.78,52.93,41.82,37.74,37.25,45.05,61.95,55.17,50.00,89.57,1420,1420,1420,1420,1670,1670,1670,1747,64.70,49.00,-1,82,39.10,0,4.25
51,0,0,33.78,55.45,46.84,46.84,44.30,45.45,65.06,57.14,57.65,78.82,1804,1804,1804,1804,1670,1670,1670,1747,64.00,47.00,-1,82,39.10,0,4.25
52,0,0,33.64,53.27,40.74,41.23,46.30,42.73,59.32,49.12,55.17,89.47,1420,1420,1420,1420,1670,1670,1670,1747,64.30,45.00,-1,82,39.10,0,4.25
52,0,0,33.64,45.21,27.50,28.00,31.65,31.08,65.06,68.29,49.38,57.65,1420,1420,1420,1420,1766,1766,1766,1305,64.00,46.00,-1,82,39.10,0,4.244
57,0,0,33.61,45.61,30.63,30.10,28.71,30.48,58.04,50.45,58.56,75.00,1420,1420,1420,1420,1670,1670,1670,1747,63.60,48.00,-1,82,39.10,0,4.244
57,0,0,33.61,52.27,39.24,42.17,40.96,41.77,66.67,55.29,51.81,77.27,1804,1804,1804,1804,1766,1766,1766,2073,64.30,49.00,-1,82,39.10,0,4.244
55,0,0,33.64,51.77,40.00,40.20,38.68,42.06,61.06,52.14,55.05,79.82,1420,1420,1420,1420,1766,1766,1766,1747,64.30,48.00,-1,82,39.10,0,4.244
55,0,0,33.64,49.22,40.00,34.67,35.53,37.18,73.17,56.79,63.10,50.00,1516,1516,1516,1516,1766,1766,1766,2073,63.60,47.00,-1,82,39.10,0,4.244
58,0,0,33.69,52.03,47.71,39.60,36.08,42.16,66.96,65.18,72.97,42.24,1420,1420,1420,1420,1766,1766,1766,844,64.30,47.00,-1,82,39.20,0,4.255
58,0,0,33.69,48.55,32.93,34.21,32.89,44.58,66.27,50.59,56.63,65.12,1804,1804,1804,1804,1766,1766,1766,844,64.00,46.00,-1,82,39.20,0,4.255
51,0,0,33.75,52.38,42.34,39.42,39.45,46.36,56.14,57.89,58.41,77.88,1420,1420,1420,1420,1670,1670,1670,1747,64.00,46.00,-1,82,39.20,0,4.255
51,0,0,33.75,52.30,37.66,39.47,41.98,39.24,61.90,53.49,60.24,82.35,1420,1420,1420,1420,1766,1766,1766,1747,63.60,40.00,-1,82,39.20,0,4.255
48,0,0,33.65,56.41,49.54,39.60,43.40,42.45,62.16,62.93,61.06,84.03,1420,1420,1420,1420,1766,1766,1766,1747,66.30,43.00,-1,82,39.20,0,4.255
48,0,0,33.65,82.08,81.71,76.62,77.92,79.07,83.95,83.75,83.33,89.41,1420,1420,1420,1420,1766,1766,1766,1747,66.70,42.00,-1,82,39.20,0,4.255
48,0,0,33.74,84.44,92.98,91.07,92.73,90.99,74.34,71.43,74.58,88.50,1420,1420,1420,1420,1766,1766,1766,2073,66.70,38.00,-1,82,39.20,0,4.183
48,0,0,33.74,64.63,64.20,62.82,64.10,62.50,60.71,58.33,56.63,86.05,1804,1804,1804,1804,1766,1766,1766,2073,65.50,43.00,-1,82,39.20,0,4.183
50,0,0,33.63,50.79,45.05,37.14,37.86,40.37,55.75,48.67,52.21,86.96,1420,1420,1420,1420,1670,1670,1670,1747,65.90,41.00,-1,82,39.20,0,4.183
50,0,0,33.63,52.38,42.31,44.44,37.66,44.05,57.32,43.59,51.19,92.86,1804,1804,1804,1804,1766,1766,1766,2073,64.30,44.00,-1,82,39.20,0,4.183
44,1,0,50.43,51.52,40.19,40.37,42.45,44.25,54.39,53.57,49.56,84.75,1420,1420,1420,1420,1670,1670,1670,1747,65.10,43.00,-1,82,39.20,0,4.183
44,1,0,50.43,52.29,41.98,44.44,37.97,44.58,59.76,57.32,53.01,77.65,1804,1804,1804,1804,1766,1766,1766,2073,64.30,36.00,-1,82,39.20,0,4.224
46,2,0,50.43,53.81,55.05,39.39,45.63,38.83,55.36,52.63,53.15,86.09,1420,1420,1420,1420,1670,1670,1670,1747,65.10,41.00,-1,82,39.20,0,4.224
46,2,0,50.43,47.66,35.06,35.44,29.17,36.71,60.24,52.44,51.72,76.19,1804,1804,1804,1804,1766,1766,1766,2073,64.30,41.00,-1,82,39.20,0,4.224
48,0,0,33.63,54.21,46.49,40.37,44.95,43.64,62.18,55.65,57.14,82.20,1420,1420,1420,1420,1670,1670,1670,1747,64.30,44.00,-1,82,39.20,0,4.224
48,0,0,33.63,50.71,40.79,33.78,44.87,37.84,57.32,57.14,53.75,74.70,1420,1420,1420,1420,1670,1670,1670,1747,64.30,42.00,-1,82,39.20,0,4.224
52,0,0,33.62,55.93,51.30,45.22,47.83,57.98,55.46,50.82,57.38,79.83,1420,1420,1420,1420,1670,1670,1670,1747,64.00,40.00,-1,82,39.20,0,4.243
52,0,0,33.62,47.71,36.23,34.29,32.86,31.94,57.89,44.00,45.45,92.41,1420,1420,1420,1420,1670,1670,1670,1747,64.30,47.00,-1,82,39.20,0,4.243
45,1,0,50.41,51.77,42.59,44.44,42.99,44.55,60.00,49.55,46.36,83.19,1420,1420,1420,1420,1766,1766,1766,1747,64.70,48.00,-1,82,39.20,0,4.243
45,1,0,50.41,51.19,40.96,38.27,37.50,42.86,54.76,61.18,51.81,78.89,1516,1516,1516,1516,1766,1766,1766,2073,64.70,39.00,-1,82,39.20,0,4.243
50,0,0,33.69,49.54,36.89,33.33,42.06,38.89,59.48,54.31,53.57,74.56,1420,1420,1420,1420,1766,1766,1766,1747,64.70,42.00,-1,82,39.20,0,4.243
50,0,0,33.69,50.61,45.68,42.17,38.46,37.66,55.29,48.15,48.19,83.72,1420,1420,1420,1420,1766,1766,1766,2073,64.70,42.00,-1,82,39.20,0,4.215
46,0,0,33.67,46.47,40.95,27.27,29.29,30.77,55.45,53.04,57.39,71.30,1804,1804,1804,1804,1766,1766,1766,2073,63.20,37.00,-1,82,39.20,0,4.215
46,0,0,33.67,48.64,38.27,34.18,33.33,35.80,59.30,50.00,54.02,79.55,1420,1420,1420,1420,1670,1670,1670,1747,63.60,38.00,-1,82,39.20,0,4.215
49,0,0,33.76,51.53,48.21,36.27,37.74,39.81,63.64,56.52,58.77,68.10,1420,1420,1420,1420,1766,1766,1766,844,64.70,43.00,-1,82,39.20,0,4.215
49,0,0,33.76,52.14,43.75,39.24,40.51,36.71,59.52,57.14,56.47,81.18,1804,1804,1804,1804,1766,1766,1766,2073,66.30,42.00,-1,82,39.20,0,4.215
52,0,0,33.82,50.89,39.05,39.09,38.32,36.70,56.03,53.39,50.91,90.43,1804,1804,1804,1804,1766,1766,1766,2073,64.30,41.00,-1,82,39.20,0,4.215
52,0,0,33.82,53.42,46.75,38.67,44.16,45.12,64.29,54.22,44.44,86.05,1420,1420,1420,1420,1766,1766,1766,1747,65.90,42.00,-1,82,39.30,0,4.25
50,0,0,33.65,51.50,42.34,34.31,37.50,42.31,61.06,51.79,59.09,79.65,1420,1420,1420,1420,1670,1670,1670,1747,64.30,38.00,-1,82,39.30,0,4.25
50,0,0,33.65,56.60,50.62,42.67,50.60,46.34,67.47,59.77,55.29,79.07,1420,1420,1420,1420,1766,1766,1766,1747,67.10,44.00,-1,82,39.30,0,4.25
