FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
60,0,0,16.97,53.11,70.00,60.98,72.37,69.05,30.95,26.25,38.75,58.54,1420,1420,1420,1420,1670,1670,1670,1747,50.80,39.00,-1,61,34.50,623,3.572
60,0,0,16.97,37.93,33.72,43.33,37.50,47.13,33.72,32.58,26.97,46.51,1420,1420,1420,1420,1670,1670,1670,1747,52.30,39.00,-1,61,34.50,623,3.572
60,0,0,17.02,31.42,22.52,27.10,29.91,28.07,29.20,31.25,24.32,58.41,1420,1420,1420,1420,1670,1670,1670,1075,50.40,39.00,-1,61,34.50,633,3.572
60,0,0,17.02,32.94,27.38,28.21,30.59,25.30,46.59,32.18,28.74,41.38,1420,1420,1420,1420,1670,1670,1670,1632,51.20,39.00,-1,61,34.50,633,3.572
60,0,0,16.94,32.03,19.81,31.19,32.04,29.73,36.94,30.63,31.82,44.95,1420,1420,1420,1420,1670,1670,1670,1075,50.80,38.00,-1,61,34.50,633,3.572
60,0,0,16.94,33.96,26.83,35.63,34.94,31.03,34.48,32.58,25.00,51.14,1420,1420,1420,1420,1670,1670,1670,1747,50.40,37.00,-1,61,34.50,609,3.572
59,0,0,16.92,36.14,35.14,43.36,43.12,35.85,29.09,23.36,25.00,53.15,1420,1420,1420,1420,1670,1670,1670,1516,50.00,34.00,-1,61,34.50,609,3.572
59,0,0,16.92,35.15,32.93,37.35,37.35,40.70,22.73,24.71,22.09,64.37,1804,1804,1804,1804,1766,1766,1766,2073,54.30,33.00,-1,61,34.50,609,3.572
49,1,0,67.18,52.93,42.06,50.00,49.55,53.21,51.75,47.79,48.25,80.18,1420,1420,1420,1420,1670,1670,1670,1632,52.30,29.00,-1,61,34.50,642,3.572
49,1,0,67.18,54.97,40.51,55.06,47.06,45.98,66.28,52.94,55.95,73.33,1804,1804,1804,1804,1766,1766,1766,2073,54.60,32.00,-1,61,34.50,642,3.572
59,0,0,17.03,45.93,38.10,42.06,39.42,37.38,46.90,44.35,42.34,76.58,1420,1420,1420,1420,1670,1670,1670,1747,54.30,40.00,-1,61,34.50,642,3.572
59,0,0,17.03,55.46,45.78,48.84,48.89,46.59,59.30,63.95,56.98,72.41,1420,1420,1420,1420,1766,1766,1766,1632,54.60,43.00,-1,61,34.50,714,3.572
51,1,1,83.97,60.18,48.57,51.43,52.25,45.10,73.64,70.80,70.34,66.67,1420,1420,1420,1420,1766,1766,1766,1747,55.00,42.00,-1,61,34.50,714,3.572
51,1,1,83.97,46.26,39.76,38.37,35.37,40.70,62.07,56.98,45.88,50.00,1420,1420,1420,1420,1670,1670,1670,1747,53.50,43.00,-1,61,34.50,714,3.572
59,0,0,16.90,41.95,30.39,42.98,45.13,39.13,35.65,31.03,33.93,76.07,1420,1420,1420,1420,1670,1670,1670,1075,53.10,51.00,-1,61,34.50,704,3.572
59,0,0,16.90,45.55,36.25,40.96,40.74,42.50,45.24,65.12,51.19,39.29,1420,1420,1420,1420,1766,1766,1766,1747,54.60,51.00,-1,61,34.50,704,3.572
56,0,0,33.65,49.31,36.89,46.49,45.05,42.86,59.05,53.64,53.98,57.01,1420,1420,1420,1420,1670,1670,1670,1747,53.50,45.00,-1,61,34.50,704,3.572
56,0,0,33.65,49.64,40.74,48.89,44.05,47.06,50.00,45.35,43.68,77.78,1804,1804,1804,1804,1766,1766,1766,2073,56.60,48.00,-1,60,34.50,702,3.538
57,0,0,33.60,56.98,43.93,48.18,49.07,50.00,66.36,65.18,57.27,72.48,1420,1420,1420,1420,1670,1670,1670,1747,55.00,39.00,-1,60,34.50,702,3.538
57,0,0,33.60,42.32,32.50,35.80,42.05,33.33,38.82,37.93,39.53,78.82,1420,1420,1420,1420,1670,1670,1670,1747,53.90,47.00,-1,60,34.50,702,3.538
58,0,0,33.61,49.55,42.45,46.09,44.86,41.59,50.89,50.46,44.14,75.44,1420,1420,1420,1420,1670,1670,1670,1747,54.30,49.00,-1,60,34.50,723,3.538
58,0,0,33.61,45.44,31.25,43.37,42.35,38.55,54.02,44.44,42.35,65.88,1420,1420,1420,1420,1670,1670,1670,1747,54.30,49.00,-1,60,34.50,723,3.538
60,0,0,17.07,45.18,43.24,41.12,39.05,42.11,52.29,36.94,36.94,68.14,1804,1804,1804,1804,1766,1766,1766,2073,55.40,47.00,-1,60,34.50,723,3.538
60,0,0,17.07,46.57,33.75,41.67,37.35,37.93,55.42,46.43,51.19,70.93,1804,1804,1804,1804,1766,1766,1766,1747,53.90,43.00,-1,60,34.50,812,3.538
56,1,0,67.17,46.93,41.67,43.36,42.86,38.18,54.87,48.67,56.64,46.02,1420,1420,1420,1420,1670,1670,1670,1075,54.30,46.00,-1,60,34.50,812,3.538
56,1,0,67.17,51.71,46.43,51.11,47.56,46.43,63.10,49.40,51.19,59.52,1420,1420,1420,1420,1670,1670,1670,1747,58.50,54.00,-1,60,34.50,812,3.538
46,2,1,134.34,52.20,45.87,49.12,49.56,45.69,56.64,55.17,48.65,66.09,1420,1420,1420,1420,1766,1766,1766,1075,55.80,51.00,-1,60,34.50,727,3.538
46,2,1,134.34,47.27,33.33,44.71,41.98,39.24,65.48,54.76,50.60,45.98,1420,1420,1420,1420,1766,1766,1766,1075,55.40,47.00,-1,60,34.50,727,3.538
41,1,1,83.97,75.24,72.22,70.90,73.28,73.28,81.25,78.74,80.92,73.28,1804,1804,1804,1804,1766,1766,1766,2073,60.10,47.00,-1,60,34.50,727,3.538
41,1,1,83.97,79.89,79.41,73.85,77.27,72.31,85.71,82.35,82.09,80.88,1420,1420,1420,1420,1766,1766,1766,2073,60.10,38.00,-1,60,34.50,920,3.538
53,0,0,33.86,78.14,80.18,78.15,71.30,74.56,80.91,80.53,79.82,83.33,1420,1420,1420,1420,1766,1766,1766,1747,59.30,49.00,-1,60,34.50,920,3.538
53,0,0,33.86,73.86,63.86,61.36,69.32,64.71,80.72,80.00,80.95,84.88,1804,1804,1804,1804,1766,1766,1766,2073,58.90,45.00,-1,60,34.50,920,3.538
51,1,0,50.44,65.03,61.11,60.68,61.06,61.11,68.14,61.61,59.26,88.03,1420,1420,1420,1420,1670,1670,1670,1747,58.90,42.00,-1,60,34.50,876,3.538
51,1,0,50.44,67.45,69.77,60.23,57.14,68.67,60.47,70.59,65.12,87.36,1420,1420,1420,1420,1766,1766,1766,1747,59.70,41.00,-1,60,34.50,876,3.538
49,0,0,33.62,63.68,59.63,62.07,58.26,71.56,64.29,58.93,57.52,77.39,1420,1420,1420,1420,1670,1670,1670,1747,56.60,36.00,-1,60,34.50,876,3.538
49,0,0,33.62,47.88,33.78,39.51,38.55,35.80,55.95,57.14,54.65,64.71,1420,1420,1420,1420,1670,1670,1670,1747,56.60,36.00,-1,60,34.50,736,3.538
53,0,0,33.61,49.20,40.57,46.02,39.62,36.19,62.83,50.46,58.33,57.63,1804,1804,1804,1804,1766,1766,1766,2073,56.20,46.00,-1,60,34.50,736,3.538
53,0,0,33.61,62.09,50.60,50.62,56.82,53.57,69.05,69.05,69.05,78.31,1420,1420,1420,1420,1670,1670,1670,1747,57.70,43.00,-1,60,34.50,736,3.538
58,0,0,33.59,48.26,34.91,37.84,37.38,45.30,50.89,53.57,48.65,76.99,1420,1420,1420,1420,1670,1670,1670,1747,56.20,45.00,-1,60,34.50,953,3.538
58,0,0,33.59,49.08,36.36,44.44,40.74,42.68,46.91,47.56,43.75,85.06,1420,1420,1420,1420,1766,1766,1766,1747,55.80,41.00,-1,60,34.60,953,3.434
57,0,0,33.59,48.03,38.89,41.59,39.45,42.34,64.86,54.39,48.15,53.10,1420,1420,1420,1420,1766,1766,1766,1747,55.40,38.00,-1,60,34.60,953,3.434
57,0,0,33.59,47.70,30.77,42.05,36.59,44.83,60.71,52.94,55.29,57.47,1420,1420,1420,1420,1670,1670,1670,1747,56.60,38.00,-1,60,34.60,877,3.434
58,0,0,33.61,48.63,34.29,37.04,39.45,44.14,51.82,48.11,56.64,76.11,1420,1420,1420,1420,1670,1670,1670,1075,55.80,42.00,-1,60,34.60,877,3.434
58,0,0,33.61,40.33,15.38,26.51,22.50,29.27,68.18,47.06,53.57,54.76,1420,1420,1420,1420,1766,1766,1766,1075,57.00,45.00,-1,60,34.60,877,3.434
59,0,0,16.96,38.23,21.70,27.52,25.23,34.55,39.81,32.69,42.06,81.82,1420,1420,1420,1420,1670,1670,1670,1747,55.80,45.00,-1,60,34.60,719,3.434
59,0,0,16.96,41.79,23.08,34.52,30.86,32.93,42.35,47.73,42.86,77.91,1420,1420,1420,1420,1766,1766,1766,1747,55.40,45.00,-1,60,34.60,719,3.434
60,0,0,16.87,47.81,36.45,37.38,39.82,44.25,62.83,53.21,46.85,60.34,1420,1420,1420,1420,1670,1670,1670,1747,55.80,48.00,-1,60,34.60,719,3.434
60,0,0,16.87,49.01,36.71,37.50,40.24,45.88,58.33,54.76,50.62,66.28,1420,1420,1420,1420,1670,1670,1670,1747,55.80,48.00,-1,60,34.60,728,3.434
59,0,0,33.61,46.96,34.62,38.05,38.53,41.35,47.71,47.37,45.37,82.73,1420,1420,1420,1420,1670,1670,1670,1075,55.40,46.00,-1,60,34.60,728,3.434
59,0,0,33.61,48.76,37.80,38.82,39.53,39.02,70.24,57.65,50.57,52.87,1420,1420,1420,1420,1766,1766,1766,1075,55.40,46.00,-1,60,34.60,728,3.434
59,0,0,16.85,48.86,36.79,42.86,43.64,43.12,55.05,50.91,46.85,71.05,1420,1420,1420,1420,1670,1670,1670,1747,55.80,48.00,-1,60,34.60,740,3.434
59,0,0,16.85,47.11,33.75,38.10,43.37,39.76,50.00,50.60,40.48,81.61,1420,1420,1420,1420,1670,1670,1670,1747,56.20,48.00,-1,60,34.60,740,3.434
57,0,0,33.58,49.55,38.89,39.45,42.34,47.27,56.03,52.68,43.86,72.65,1420,1420,1420,1420,1766,1766,1766,1075,56.60,43.00,-1,60,34.60,740,3.434
57,0,0,33.58,46.40,30.67,34.12,41.18,39.02,76.19,46.99,51.16,49.41,1804,1804,1804,1804,1766,1766,1766,2073,55.80,43.00,-1,60,34.60,944,3.434
