FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
60,0,0,16.89,36.86,40.45,39.41,39.72,42.41,34.13,32.11,32.11,35.11,1420,1420,1420,1420,1670,1670,1670,1632,57.40,31.00,-1,82,37.40,0,4.227
60,0,0,16.99,35.76,30.19,34.31,37.14,38.53,29.09,27.68,29.63,62.83,1420,1420,1420,1420,1670,1670,1670,1747,56.60,29.00,-1,82,37.40,0,4.227
60,0,0,16.99,30.47,18.99,22.08,25.32,32.10,22.22,30.23,27.91,59.77,1420,1420,1420,1420,1670,1670,1670,1747,55.80,29.00,-1,82,37.40,0,4.227
56,1,0,50.40,36.88,27.78,25.51,31.43,32.35,45.95,31.58,31.25,65.45,1804,1804,1804,1804,1766,1766,1766,2073,57.00,28.00,-1,82,37.40,0,4.225
56,1,0,50.40,37.09,26.51,29.63,23.38,31.33,50.56,45.88,44.58,43.18,1420,1420,1420,1420,1670,1670,1670,1747,57.70,27.00,-1,82,37.40,0,4.225
53,0,0,33.61,38.47,24.30,33.01,28.16,29.25,52.59,36.28,31.58,69.91,1420,1420,1420,1420,1670,1670,1670,1632,57.70,25.00,-1,82,37.40,0,4.225
53,0,0,33.61,33.59,22.22,28.75,26.92,30.77,36.59,25.00,23.17,73.86,1420,1420,1420,1420,1670,1670,1670,1747,57.00,27.00,-1,82,37.40,0,4.225
57,0,0,33.62,39.59,30.19,36.19,29.41,42.45,40.52,27.19,27.83,80.18,1420,1420,1420,1420,1670,1670,1670,1747,57.70,31.00,-1,82,37.40,0,4.225
57,0,0,33.62,38.59,21.25,27.63,25.97,23.68,47.13,42.86,42.35,75.29,1420,1420,1420,1420,1766,1766,1766,1747,60.80,31.00,-1,82,37.50,0,4.19
56,0,0,33.61,35.69,17.65,27.45,24.00,30.84,50.46,38.60,30.09,62.16,1420,1420,1420,1420,1670,1670,1670,1747,57.70,24.00,-1,82,37.50,0,4.19
56,0,0,33.61,30.76,15.85,22.08,18.42,24.36,24.10,25.84,28.74,81.82,1420,1420,1420,1420,1670,1670,1670,1747,57.00,30.00,-1,82,37.50,0,4.19
56,0,0,33.62,34.03,18.10,27.18,23.76,29.25,46.43,40.00,29.36,56.64,1420,1420,1420,1420,1670,1670,1670,1747,57.70,30.00,-1,82,37.50,0,4.19
56,0,0,33.62,37.81,33.33,34.94,31.71,30.00,43.53,28.41,38.37,58.43,1420,1420,1420,1420,1766,1766,1766,1075,57.00,30.00,-1,82,37.50,0,4.19
58,0,0,33.61,39.58,35.85,37.00,32.69,40.00,37.27,34.48,34.86,63.72,1420,1420,1420,1420,1670,1670,1670,1305,57.40,26.00,-1,82,37.50,0,4.222
58,0,0,33.61,41.49,41.46,42.31,41.77,46.99,48.24,37.65,31.71,42.50,1420,1420,1420,1420,1670,1670,1670,1747,57.40,24.00,-1,82,37.50,0,4.222
55,0,0,33.71,70.32,75.93,73.53,75.24,74.53,70.64,69.81,61.82,60.19,1420,1420,1420,1420,1766,1766,1766,1747,62.00,24.00,-1,82,37.50,0,4.222
55,0,0,33.71,48.09,42.35,45.12,42.50,45.12,58.62,45.88,48.35,56.52,1420,1420,1420,1420,1766,1766,1766,1075,58.90,20.00,-1,82,37.50,0,4.222
54,2,0,66.99,51.13,43.24,45.28,46.30,46.30,55.45,52.59,45.87,71.68,1420,1420,1420,1420,1670,1670,1670,1632,60.10,24.00,-1,82,37.50,0,4.222
54,2,0,66.99,48.77,37.18,43.04,39.24,42.68,55.95,49.40,47.62,72.29,1420,1420,1420,1420,1670,1670,1670,1747,60.10,27.00,-1,82,37.50,0,4.222
53,1,0,50.42,59.78,54.13,50.00,50.93,54.13,66.67,62.61,63.25,76.99,1804,1804,1804,1804,1766,1766,1766,2073,62.40,33.00,-1,82,37.50,0,4.194
53,1,0,50.42,59.88,45.68,48.72,45.33,48.78,71.11,70.24,69.14,74.70,1420,1420,1420,1420,1766,1766,1766,1747,61.20,33.00,-1,82,37.50,0,4.194
55,2,0,67.18,67.40,71.96,55.45,63.11,72.90,73.87,63.64,64.86,72.07,1420,1420,1420,1420,1670,1670,1670,1747,62.00,33.00,-1,82,37.50,0,4.194
55,2,0,67.18,48.02,47.06,42.31,51.19,51.19,41.38,40.23,36.90,72.53,1420,1420,1420,1420,1670,1670,1670,1747,59.30,40.00,-1,82,37.50,0,4.194
58,0,0,33.64,51.22,45.54,44.86,45.87,47.27,52.54,49.59,52.50,71.05,1420,1420,1420,1420,1766,1766,1766,1075,62.00,43.00,-1,82,37.50,0,4.194
58,0,0,33.64,52.32,44.44,44.59,42.47,44.00,73.42,57.50,60.26,50.00,1420,1420,1420,1420,1766,1766,1766,1747,61.60,40.00,-1,82,37.50,0,4.189
57,0,0,33.58,46.89,36.36,43.14,42.86,45.28,58.33,41.28,40.54,64.86,1420,1420,1420,1420,1766,1766,1766,1747,60.50,36.00,-1,82,37.50,0,4.189
57,0,0,33.58,58.97,51.76,44.74,54.32,50.00,65.88,66.27,68.67,67.82,1420,1420,1420,1420,1670,1670,1670,1747,60.50,37.00,-1,82,37.50,0,4.189
57,0,0,33.60,51.00,48.18,51.33,44.44,44.04,54.70,53.51,46.02,65.79,1420,1420,1420,1420,1766,1766,1766,1075,64.30,36.00,-1,82,37.50,0,4.189
57,0,0,33.60,59.18,49.38,53.85,42.25,50.00,74.39,66.25,64.20,69.41,1420,1420,1420,1420,1670,1670,1670,1747,61.20,39.00,-1,82,37.50,0,4.189
59,0,0,33.59,51.30,42.73,46.15,43.40,45.63,62.28,56.30,47.79,64.04,1516,1516,1516,1516,1766,1766,1766,2073,61.20,39.00,-1,82,37.60,0,4.199
