FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
59,0,0,16.93,67.45,100.00,92.75,85.29,100.00,35.82,38.81,42.03,40.58,1420,1420,1420,1420,1670,1670,1670,1190,49.60,38.00,-1,90,32.10,603,3.821
59,0,0,16.93,66.86,100.00,88.76,79.76,100.00,52.22,29.07,32.94,48.31,1420,1420,1420,1420,1670,1670,1670,1747,50.00,27.00,-1,90,32.10,640,3.821
60,0,0,16.94,65.23,96.36,73.58,79.82,100.00,40.54,37.84,37.04,59.13,1420,1420,1420,1420,1670,1670,1670,1401,48.80,27.00,-1,90,32.10,640,3.821
60,0,0,16.94,60.89,100.00,57.83,64.71,100.00,36.67,33.72,39.33,51.72,1420,1420,1420,1420,1670,1670,1670,1747,49.20,41.00,-1,90,32.10,640,3.821
59,0,0,16.91,66.00,97.17,80.39,87.96,88.99,42.72,44.04,45.37,42.99,1420,1420,1420,1420,1670,1670,1670,1747,51.20,42.00,-1,90,32.10,626,3.821
59,0,0,16.91,65.61,96.77,76.09,72.73,98.91,47.31,42.22,43.82,43.33,1420,1420,1420,1420,1670,1670,1670,1747,50.00,43.00,-1,90,32.10,626,3.821
60,0,0,16.96,59.63,96.36,73.83,85.98,79.63,27.78,34.26,23.58,56.88,1420,1420,1420,1420,1670,1670,1670,844,49.20,42.00,-1,90,32.10,626,3.821
60,0,0,16.96,57.53,92.05,66.28,73.03,91.01,33.33,29.89,26.44,43.18,1420,1420,1420,1420,1670,1670,1670,844,48.00,30.00,-1,90,32.10,598,3.821
57,0,0,33.65,54.40,72.73,57.69,60.19,67.86,48.25,53.57,39.64,38.94,1420,1420,1420,1420,1766,1766,1766,1747,53.50,27.00,-1,90,32.10,598,3.821
57,0,0,33.65,57.25,71.08,70.24,75.58,65.06,38.64,33.33,41.86,62.07,1420,1420,1420,1420,1670,1670,1670,1401,48.80,27.00,-1,90,32.10,598,3.821
46,2,0,67.16,36.51,32.17,29.81,25.24,24.27,33.03,38.18,33.64,75.93,1420,1420,1420,1420,1766,1766,1766,1747,50.40,27.00,-1,90,32.10,620,3.821
46,2,0,67.16,36.90,28.74,28.40,28.40,27.71,48.31,29.76,30.23,69.66,1420,1420,1420,1420,1670,1670,1670,1632,49.60,25.00,-1,90,32.10,620,3.821
46,2,0,67.12,53.97,55.96,63.89,58.18,50.49,52.21,36.61,45.61,68.75,1804,1804,1804,1804,1766,1766,1766,2073,53.10,20.00,-1,90,32.10,620,3.821
46,2,0,67.12,72.75,73.56,68.67,67.90,69.51,76.74,70.59,71.95,78.82,1420,1420,1420,1420,1670,1670,1670,1747,51.90,22.00,-1,90,32.10,648,3.821
56,0,0,33.76,62.26,65.14,59.81,58.82,60.36,67.86,55.75,58.77,72.57,1420,1420,1420,1420,1670,1670,1670,960,52.70,33.00,-1,90,32.10,648,3.821
56,0,0,33.76,59.31,48.15,48.75,46.84,52.44,74.12,72.29,71.59,56.82,1420,1420,1420,1420,1766,1766,1766,844,53.50,31.00,-1,90,32.10,648,3.821
56,1,0,50.43,49.60,50.00,42.16,38.61,41.82,55.65,49.12,47.83,71.43,1420,1420,1420,1420,1766,1766,1766,1747,53.10,32.00,-1,90,32.40,687,3.739
56,1,0,50.43,48.50,40.00,36.84,39.24,42.35,61.36,52.50,49.43,63.95,1420,1420,1420,1420,1670,1670,1670,1747,54.60,36.00,-1,90,32.40,687,3.739
55,1,0,67.16,57.22,58.41,54.95,46.73,53.98,60.00,54.46,50.43,76.27,1420,1420,1420,1420,1766,1766,1766,844,53.50,42.00,-1,90,32.40,687,3.739
55,1,0,67.16,55.17,54.22,52.56,50.00,59.76,60.24,50.00,49.38,65.06,1420,1420,1420,1420,1670,1670,1670,1747,52.70,40.00,-1,90,32.40,689,3.739
57,1,0,50.32,67.02,59.29,64.41,64.04,62.93,71.67,69.75,67.48,76.03,1420,1420,1420,1420,1766,1766,1766,844,55.40,40.00,-1,90,32.40,689,3.739
57,1,0,50.32,44.59,39.24,40.28,35.62,34.25,60.49,51.25,40.26,50.63,1420,1420,1420,1420,1670,1670,1670,1747,53.10,38.00,-1,90,32.40,689,3.739
57,1,0,50.47,43.30,36.11,40.95,38.24,42.86,49.14,41.74,36.70,60.87,1420,1420,1420,1420,1670,1670,1670,1747,51.90,40.00,-1,90,32.40,641,3.739
