FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
59,0,0,33.58,35.93,39.51,34.21,36.84,35.53,31.17,30.26,29.76,46.91,1420,1420,1420,1420,1670,1670,1670,1747,54.60,22.00,-1,83,38.00,0,4.396
59,0,0,33.58,42.00,41.98,47.06,48.19,48.81,39.08,31.46,27.59,52.94,1420,1420,1420,1420,1670,1670,1670,1632,55.40,22.00,-1,83,38.00,0,4.396
59,0,0,16.89,43.50,46.85,51.85,51.38,56.36,33.63,30.70,31.19,47.27,1420,1420,1420,1420,1670,1670,1670,1516,56.20,23.00,-1,83,38.00,0,4.383
59,0,0,16.89,36.12,26.83,30.86,33.73,36.90,41.18,29.55,31.46,60.71,1420,1420,1420,1420,1670,1670,1670,1747,55.80,25.00,-1,83,38.00,0,4.383
60,0,0,16.98,35.59,26.36,34.23,38.74,37.04,30.36,25.00,27.43,65.45,1420,1420,1420,1420,1670,1670,1670,1747,58.50,27.00,-1,83,38.00,0,4.383
60,0,0,16.98,36.07,28.92,37.04,33.33,30.77,45.35,32.94,31.40,46.51,1420,1420,1420,1420,1670,1670,1670,1747,55.80,24.00,-1,83,38.00,0,4.383
60,0,0,16.97,38.81,28.97,41.44,41.96,42.48,34.21,28.32,25.45,67.54,1420,1420,1420,1420,1670,1670,1670,1747,57.00,26.00,-1,83,38.00,0,4.383
60,0,0,16.97,34.77,24.39,38.37,34.94,34.62,50.00,28.24,29.89,37.80,1420,1420,1420,1420,1670,1670,1670,844,55.80,25.00,-1,84,38.00,0,4.365
58,0,0,33.58,39.66,39.13,39.25,39.25,37.50,43.12,29.46,30.56,57.52,1420,1420,1420,1420,1670,1670,1670,1747,57.70,25.00,-1,84,38.00,0,4.365
58,0,0,33.58,36.73,24.71,29.76,33.33,34.12,55.17,34.94,33.33,47.62,1420,1420,1420,1420,1670,1670,1670,1747,56.20,25.00,-1,84,38.00,0,4.365
58,0,0,33.60,49.28,50.00,52.25,55.56,52.29,51.72,39.82,38.26,55.08,1420,1420,1420,1420,1670,1670,1670,1747,61.20,23.00,-1,84,38.00,0,4.365
58,0,0,33.60,35.07,33.33,33.33,35.71,34.15,52.27,28.05,15.85,45.68,1420,1420,1420,1420,1670,1670,1670,1747,56.60,22.00,-1,84,38.00,0,4.365
60,0,0,17.00,37.54,33.91,29.52,33.96,34.23,41.23,37.17,35.96,53.15,1420,1420,1420,1420,1670,1670,1670,1401,56.60,24.00,-1,84,38.00,0,4.367
60,0,0,17.00,33.43,22.09,29.41,27.38,29.27,40.22,25.00,33.33,58.70,1420,1420,1420,1420,1670,1670,1670,844,56.60,22.00,-1,84,38.00,0,4.367
59,0,0,33.60,35.84,26.36,27.62,31.82,28.04,39.47,35.04,37.07,60.71,1420,1420,1420,1420,1670,1670,1670,1516,57.40,24.00,-1,84,38.00,0,4.367
59,0,0,33.60,32.28,21.18,25.93,25.61,23.81,36.67,32.26,26.97,62.37,1420,1420,1420,1420,1670,1670,1670,1747,55.80,25.00,-1,84,38.00,0,4.367
58,0,0,33.60,35.13,33.33,30.77,26.47,31.73,38.14,31.36,27.59,61.40,1420,1420,1420,1420,1670,1670,1670,1747,56.20,25.00,-1,84,38.00,0,4.367
58,0,0,33.60,38.39,30.95,30.86,37.35,35.37,31.03,39.36,31.82,70.45,1420,1420,1420,1420,1670,1670,1670,1747,58.90,18.00,-1,84,38.00,0,4.367
42,2,0,50.38,50.73,41.28,40.57,41.67,38.24,60.00,55.75,53.45,70.34,1516,1516,1516,1516,1766,1766,1766,2073,58.50,12.00,-1,84,38.00,0,4.384
42,2,0,50.38,42.75,31.71,32.47,37.50,37.80,37.50,39.33,37.36,88.37,1420,1420,1420,1420,1670,1670,1670,1747,58.90,13.00,-1,84,38.00,0,4.384
47,1,0,50.41,44.99,42.98,37.74,39.81,38.53,50.42,40.98,40.17,65.55,1420,1420,1420,1420,1670,1670,1670,1747,58.90,14.00,-1,84,38.00,0,4.384
47,1,0,50.41,42.20,37.18,34.21,38.46,36.59,42.70,38.10,36.90,72.94,1420,1420,1420,1420,1670,1670,1670,1747,60.50,14.00,-1,84,38.00,0,4.384
57,0,0,33.62,46.24,41.07,40.91,47.62,45.05,51.75,50.86,41.03,51.28,1420,1420,1420,1420,1766,1766,1766,1075,58.90,16.00,-1,84,38.00,0,4.384
57,0,0,33.62,42.08,37.50,39.24,41.77,41.67,39.33,30.12,27.71,77.65,1420,1420,1420,1420,1670,1670,1670,1747,58.50,17.00,-1,84,38.00,0,4.362
