FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
41,1,0,67.13,74.11,82.73,85.64,84.87,83.25,64.57,64.89,65.54,61.24,1804,1804,1804,1804,2419,2419,2419,2841,76.00,7.00,-1,88,33.90,1502,3.746
41,1,0,67.13,72.13,75.25,73.74,72.28,76.42,64.42,62.26,69.16,84.55,1804,1804,1804,1804,2419,2419,2419,3187,80.60,34.00,-1,88,34.20,1502,3.508
60,0,0,16.97,74.88,78.64,80.77,75.49,77.98,64.86,67.29,65.42,88.07,1804,1804,1804,1804,2419,2419,2419,3187,88.40,36.00,-1,88,34.20,1502,3.508
60,0,0,16.97,47.12,42.86,46.25,48.78,45.00,41.38,42.05,41.18,70.00,1804,1804,1804,1804,2419,2419,2419,3187,75.60,37.00,-1,88,34.20,1195,3.508
59,0,0,16.91,75.82,85.98,89.09,88.29,86.73,59.46,61.95,57.27,77.27,1420,1420,1420,1420,1766,1766,1766,1747,66.30,38.00,-1,88,34.20,1195,3.508
59,0,0,16.91,75.94,75.00,80.49,89.02,92.94,86.05,73.75,71.95,38.10,1420,1420,1420,1420,1766,1766,1766,1747,62.80,36.00,-1,88,34.20,1195,3.508
59,0,0,33.52,67.55,65.79,62.75,71.70,64.81,80.91,76.99,74.55,42.34,1420,1420,1420,1420,1766,1766,1766,1747,61.60,37.00,-1,88,34.20,832,3.508
59,0,0,33.52,60.52,73.75,58.11,58.75,54.32,81.93,64.71,61.73,28.92,1420,1420,1420,1420,1670,1670,1670,844,60.80,33.00,-1,88,34.20,832,3.508
59,0,0,16.91,63.01,70.37,63.46,66.02,67.89,80.00,65.22,66.96,23.85,1420,1420,1420,1420,1766,1766,1766,844,60.50,35.00,-1,88,34.20,832,3.508
59,0,0,16.91,66.41,85.54,69.23,67.09,70.51,77.11,69.51,62.96,30.95,1420,1420,1420,1420,1766,1766,1766,1747,60.50,33.00,-1,88,34.20,766,3.508
56,0,0,33.59,74.22,78.50,65.69,67.62,71.70,82.24,79.28,76.36,73.11,1420,1420,1420,1420,1766,1766,1766,1747,60.80,31.00,-1,88,34.20,766,3.508
56,0,0,33.59,58.63,68.75,48.72,76.47,58.23,50.59,45.68,40.51,73.26,1804,1804,1804,1804,1766,1766,1766,2073,60.10,31.00,-1,88,34.20,766,3.508
59,0,0,16.97,57.64,63.96,56.19,56.48,62.04,51.72,50.00,49.55,73.04,1420,1420,1420,1420,1766,1766,1766,844,59.30,32.00,-1,88,34.20,760,3.508
59,0,0,16.97,47.34,43.37,38.75,39.19,44.74,42.68,41.77,48.78,76.83,1804,1804,1804,1804,1766,1766,1766,2073,58.90,31.00,-1,88,34.20,760,3.508
60,0,0,16.96,52.73,44.23,43.40,50.93,51.85,56.25,48.65,52.68,73.28,1420,1420,1420,1420,1766,1766,1766,844,58.90,32.00,-1,88,34.20,760,3.508
60,0,0,16.96,46.56,40.54,40.79,38.89,44.00,54.22,48.24,44.44,60.98,1420,1420,1420,1420,1766,1766,1766,1747,58.50,32.00,-1,88,34.20,715,3.508
59,0,0,16.85,39.74,30.48,29.52,30.39,29.13,40.74,39.64,37.84,76.99,1420,1420,1420,1420,1766,1766,1766,1747,57.40,31.00,-1,88,34.20,715,3.508
59,0,0,16.85,42.42,30.86,33.33,34.62,35.80,40.96,41.46,43.53,74.71,1420,1420,1420,1420,1766,1766,1766,1747,57.70,31.00,-1,88,34.20,715,3.508
60,0,0,16.87,48.03,41.18,37.62,43.27,46.79,40.74,43.48,45.05,83.04,1420,1420,1420,1420,1766,1766,1766,1747,57.70,32.00,-1,88,34.20,685,3.508
60,0,0,16.87,44.96,54.22,40.51,38.46,39.73,40.74,38.75,36.71,67.05,1420,1420,1420,1420,1766,1766,1766,1747,57.40,28.00,-1,88,34.20,685,3.508
56,1,0,50.36,45.73,42.31,43.27,47.17,43.27,44.55,35.78,36.11,73.91,1804,1804,1804,1804,1766,1766,1766,2073,57.70,40.00,-1,88,34.20,685,3.508
56,1,0,50.36,57.53,59.26,56.58,53.95,60.49,58.82,55.42,59.26,55.81,1804,1804,1804,1804,1766,1766,1766,2073,57.70,27.00,-1,88,34.20,653,3.508
58,0,0,33.57,62.64,68.18,65.38,59.81,67.89,62.83,61.26,60.91,55.26,1420,1420,1420,1420,1766,1766,1766,1747,57.70,37.00,-1,88,34.20,653,3.508
58,0,0,33.57,66.77,71.95,64.56,68.67,66.67,62.65,62.07,63.41,71.76,1804,1804,1804,1804,1766,1766,1766,2073,58.50,45.00,-1,87,34.60,653,3.711
59,0,0,33.59,64.86,68.18,67.92,68.52,70.09,58.93,56.88,54.63,74.78,1420,1420,1420,1420,1766,1766,1766,1747,58.50,38.00,-1,87,34.60,745,3.711
59,0,0,33.59,57.50,55.70,54.05,56.58,58.44,59.26,60.26,54.32,56.47,1804,1804,1804,1804,1766,1766,1766,2073,57.40,33.00,-1,87,34.60,745,3.711
53,0,0,33.71,67.04,64.49,72.97,71.82,66.97,67.26,58.77,55.75,80.53,1420,1420,1420,1420,1766,1766,1766,2073,58.50,29.00,-1,87,34.60,745,3.711
53,0,0,33.71,53.26,55.13,50.00,52.56,51.32,47.62,40.24,45.35,84.52,1420,1420,1420,1420,1670,1670,1670,1747,57.40,37.00,-1,87,34.60,759,3.711
60,0,0,17.01,66.67,68.52,85.45,80.00,69.16,57.14,54.39,47.27,72.32,1804,1804,1804,1804,1766,1766,1766,2073,59.30,37.00,-1,87,34.60,759,3.711
60,0,0,17.01,62.71,62.35,73.42,54.67,81.93,51.76,49.40,48.19,80.00,1516,1516,1516,1516,1766,1766,1766,2073,57.70,33.00,-1,87,34.60,759,3.711
60,0,0,16.90,63.41,67.59,63.64,56.73,94.64,58.93,52.25,50.00,61.61,1804,1804,1804,1804,1766,1766,1766,2073,57.70,33.00,-1,87,34.60,699,3.711
60,0,0,16.90,51.68,48.75,42.47,53.85,53.75,51.22,53.57,48.86,62.35,1804,1804,1804,1804,1766,1766,1766,2073,57.00,35.00,-1,87,34.60,699,3.711
54,1,0,50.33,44.41,33.02,34.91,35.29,38.83,50.88,44.04,46.43,67.86,1420,1420,1420,1420,1766,1766,1766,1632,59.30,33.00,-1,87,34.60,699,3.711
54,1,0,50.33,54.95,70.73,56.79,52.63,48.15,59.52,50.00,47.06,57.47,1516,1516,1516,1516,1766,1766,1766,2073,58.10,31.00,-1,87,34.60,676,3.711
59,0,0,33.55,48.07,42.34,36.63,41.51,39.05,52.17,45.13,49.56,73.50,1804,1804,1804,1804,1766,1766,1766,2073,57.00,32.00,-1,87,34.60,676,3.711
59,0,0,33.55,51.39,36.84,36.84,35.14,56.47,65.43,62.07,56.10,57.65,1516,1516,1516,1516,1766,1766,1766,2073,56.60,36.00,-1,87,34.60,676,3.711
58,0,0,33.58,46.80,38.68,30.21,40.19,40.59,55.36,47.75,49.57,68.75,1804,1804,1804,1804,1766,1766,1766,2073,57.40,36.00,-1,87,34.60,695,3.711
58,0,0,33.58,55.85,62.96,53.95,62.34,58.75,54.32,53.09,45.78,55.06,1420,1420,1420,1420,1670,1670,1670,1747,56.60,30.00,-1,87,34.60,695,3.711
59,0,0,16.90,57.47,63.96,53.85,55.88,66.36,60.00,48.25,50.89,60.53,1420,1420,1420,1420,1670,1670,1670,1747,57.00,33.00,-1,87,34.60,695,3.711
59,0,0,16.90,52.86,53.25,50.67,53.95,48.65,54.65,53.01,41.98,65.85,1420,1420,1420,1420,1766,1766,1766,1747,56.60,32.00,-1,87,34.60,701,3.711
60,0,0,16.90,44.88,37.14,35.29,41.90,43.93,45.13,46.23,42.20,65.77,1420,1420,1420,1420,1766,1766,1766,1747,56.20,33.00,-1,87,34.60,701,3.711
60,0,0,16.90,42.24,33.77,33.33,33.77,35.53,55.42,44.58,42.17,54.12,1420,1420,1420,1420,1766,1766,1766,1190,56.20,29.00,-1,87,34.60,701,3.711
59,0,0,16.88,45.50,39.64,33.01,40.00,40.71,55.45,48.67,44.14,63.16,1804,1804,1804,1804,1766,1766,1766,2073,56.20,32.00,-1,87,34.60,649,3.711
59,0,0,16.88,43.85,39.51,34.62,35.90,40.00,60.00,40.74,51.16,46.34,1516,1516,1516,1516,1766,1766,1766,2073,55.00,33.00,-1,87,34.60,649,3.711
60,0,0,16.99,44.34,39.45,35.85,36.63,41.18,66.67,48.18,49.55,35.51,1420,1420,1420,1420,1766,1766,1766,1075,56.20,34.00,-1,87,34.60,649,3.711
60,0,0,16.99,47.54,47.73,40.24,38.46,43.59,64.71,50.57,45.68,46.59,1804,1804,1804,1804,1766,1766,1766,2073,58.10,35.00,-1,87,34.60,667,3.711
59,0,0,17.06,50.86,48.18,42.99,47.22,53.15,63.89,53.21,50.00,46.85,1420,1420,1420,1420,1766,1766,1766,1075,56.20,39.00,-1,87,34.80,667,3.73
59,0,0,17.06,45.15,39.24,35.00,37.04,40.51,59.04,57.83,46.25,45.24,1804,1804,1804,1804,1766,1766,1766,2073,55.80,39.00,-1,87,34.80,667,3.73
59,0,0,16.94,49.66,47.37,43.12,39.22,49.09,53.98,46.30,46.90,71.68,1516,1516,1516,1516,1766,1766,1766,2073,56.20,39.00,-1,87,34.80,677,3.73
59,0,0,16.94,44.62,40.96,33.77,33.77,40.00,52.50,51.76,47.44,55.95,1420,1420,1420,1420,1766,1766,1766,1075,55.80,37.00,-1,87,34.80,677,3.73
60,0,0,17.44,52.89,52.78,52.78,52.29,55.75,63.96,47.32,47.75,50.00,1420,1420,1420,1420,1766,1766,1766,1747,56.60,37.00,-1,87,34.80,677,3.73
60,0,0,17.44,52.90,68.24,46.91,55.56,48.10,56.63,53.01,48.15,44.19,1516,1516,1516,1516,1766,1766,1766,2073,56.20,47.00,-1,87,34.80,802,3.73
59,0,0,16.90,48.96,50.00,39.62,47.12,46.79,47.66,41.51,44.34,72.97,1420,1420,1420,1420,1766,1766,1766,1747,56.60,37.00,-1,87,34.80,802,3.73
59,0,0,16.90,49.63,48.84,39.24,55.42,45.78,51.76,43.53,47.73,64.37,1420,1420,1420,1420,1766,1766,1766,1747,55.80,35.00,-1,87,34.80,802,3.73
60,0,0,16.90,51.05,46.79,43.52,50.86,46.90,52.63,45.54,50.42,72.17,1516,1516,1516,1516,1766,1766,1766,2073,56.60,40.00,-1,87,34.80,692,3.73
