FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
59,0,0,17.01,34.37,31.40,32.02,32.59,30.82,34.70,33.44,32.55,47.15,1516,1516,1516,1516,1766,1766,1766,2073,51.20,29.00,-1,77,31.40,562,3.632
59,0,0,17.03,37.53,31.58,35.40,38.39,33.04,43.33,42.28,31.09,44.07,1420,1420,1420,1420,1670,1670,1670,1516,47.30,30.00,-1,77,31.40,599,3.632
59,0,0,17.03,52.75,54.76,58.62,57.32,56.47,54.55,43.18,37.04,59.30,1420,1420,1420,1420,1670,1670,1670,1747,47.70,29.00,-1,77,31.40,599,3.632
58,0,0,33.55,40.91,36.19,40.37,40.00,38.18,41.28,40.87,37.27,50.00,1420,1420,1420,1420,1670,1670,1670,1747,48.40,31.00,-1,77,31.40,599,3.632
58,0,0,33.55,36.90,41.38,43.37,39.76,38.64,36.47,29.55,22.89,46.51,1420,1420,1420,1420,1670,1670,1670,1747,47.70,31.00,-1,77,31.40,631,3.632
59,0,0,16.85,37.88,38.05,39.64,37.84,34.55,35.65,35.71,27.10,54.13,1420,1420,1420,1420,1670,1670,1670,1632,48.80,25.00,-1,77,31.40,631,3.632
59,0,0,16.85,34.34,32.56,31.33,30.59,35.63,35.71,27.27,29.21,50.00,1420,1420,1420,1420,1670,1670,1670,1075,47.70,24.00,-1,77,31.40,631,3.632
59,0,0,16.99,35.77,31.19,62.16,28.85,36.52,27.19,25.89,21.43,52.63,1804,1804,1804,1804,1766,1766,1766,2073,49.20,25.00,-1,77,31.40,568,3.632
59,0,0,16.99,39.44,30.12,32.53,32.94,37.08,48.24,30.95,34.94,67.44,1420,1420,1420,1420,1670,1670,1670,1747,48.80,24.00,-1,77,31.40,568,3.632
57,1,0,50.36,39.91,36.36,33.65,31.73,33.02,45.13,38.79,37.93,61.11,1420,1420,1420,1420,1670,1670,1670,1747,48.80,23.00,-1,77,31.70,568,3.651
57,1,0,50.36,34.39,30.68,33.73,31.76,31.82,28.74,43.33,26.44,48.86,1420,1420,1420,1420,1670,1670,1670,1747,49.20,25.00,-1,77,31.70,606,3.651
59,0,0,33.55,44.95,49.55,43.64,43.64,41.12,44.25,36.04,39.13,63.64,1420,1420,1420,1420,1670,1670,1670,1747,48.40,27.00,-1,77,31.70,606,3.651
59,0,0,33.55,45.65,52.94,45.35,44.58,51.69,42.35,42.53,29.41,53.41,1420,1420,1420,1420,1670,1670,1670,1747,48.80,24.00,-1,77,31.70,606,3.651
44,2,0,67.12,49.48,41.67,43.64,40.95,41.28,61.82,49.52,48.15,70.00,1420,1420,1420,1420,1766,1766,1766,1747,53.10,20.00,-1,77,31.70,625,3.651
44,2,0,67.12,61.71,52.94,48.84,49.44,51.14,76.14,74.16,73.03,67.06,1420,1420,1420,1420,1766,1766,1766,1747,53.50,29.00,-1,77,31.70,625,3.651
54,1,0,67.05,58.86,49.55,50.85,50.00,52.54,60.00,64.91,62.18,81.36,1420,1420,1420,1420,1766,1766,1766,1747,54.60,33.00,-1,77,31.70,625,3.651
54,1,0,67.05,53.65,43.21,39.02,36.71,41.46,70.59,60.98,58.82,76.47,1804,1804,1804,1804,1766,1766,1766,2073,54.30,34.00,-1,77,31.70,754,3.651
58,0,0,33.57,57.51,51.82,42.45,51.72,50.00,69.64,65.14,62.04,66.67,1420,1420,1420,1420,1766,1766,1766,2073,52.70,35.00,-1,77,31.70,754,3.651
58,0,0,33.57,43.77,41.86,37.93,36.59,35.71,48.86,34.48,39.08,73.56,1420,1420,1420,1420,1670,1670,1670,1747,51.90,39.00,-1,77,31.70,754,3.651
57,1,0,50.47,47.57,43.12,43.36,46.90,44.95,45.45,35.19,49.14,71.82,1420,1420,1420,1420,1670,1670,1670,1747,53.50,36.00,-1,77,31.70,649,3.651
57,1,0,50.47,54.71,43.75,49.40,45.12,77.27,47.67,56.47,43.53,73.03,1420,1420,1420,1420,1670,1670,1670,1747,50.80,35.00,-1,77,31.70,649,3.651
58,0,0,33.56,44.41,41.67,45.05,38.68,41.96,53.15,37.39,37.96,58.41,1420,1420,1420,1420,1670,1670,1670,1747,50.80,36.00,-1,77,31.70,649,3.651
58,0,0,33.56,42.05,41.46,39.51,36.71,39.02,43.53,31.71,34.52,68.29,1420,1420,1420,1420,1670,1670,1670,1075,50.40,38.00,-1,77,31.70,704,3.651
57,0,0,33.57,43.54,42.73,37.50,36.54,42.34,47.32,48.25,38.39,56.36,1420,1420,1420,1420,1670,1670,1670,1747,50.40,39.00,-1,77,31.70,704,3.651
57,0,0,33.57,41.70,36.90,39.29,38.37,38.37,50.60,36.47,41.57,51.76,1420,1420,1420,1420,1670,1670,1670,1075,50.00,35.00,-1,77,31.70,704,3.651
