FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
60,0,0,16.96,30.38,35.90,39.44,28.99,29.33,24.68,27.63,22.08,37.97,1420,1420,1420,1420,1670,1670,1670,1747,50.80,23.00,-1,72,37.50,488,3.863
60,0,0,16.96,31.12,33.72,38.27,37.65,36.90,31.40,23.53,21.18,27.06,1420,1420,1420,1420,1670,1670,1670,1305,51.90,20.00,-1,72,37.50,460,3.863
59,0,0,16.95,44.94,47.17,49.51,61.82,56.25,46.02,34.55,30.43,34.29,1420,1420,1420,1420,1766,1766,1766,1075,54.60,20.00,-1,72,37.50,460,3.863
59,0,0,16.95,41.54,34.94,32.05,38.55,27.63,47.13,53.93,37.93,56.98,1420,1420,1420,1420,1766,1766,1766,1747,55.80,18.00,-1,72,37.50,460,3.863
60,0,0,16.94,37.59,38.74,41.35,42.06,37.38,35.71,24.55,43.24,38.53,1420,1420,1420,1420,1670,1670,1670,1075,53.10,20.00,-1,72,37.50,519,3.863
60,0,0,16.94,26.13,23.60,21.25,25.00,22.99,17.86,25.84,17.05,56.32,1420,1420,1420,1420,1670,1670,1670,1516,52.30,23.00,-1,72,37.50,519,3.863
60,0,0,16.88,27.76,24.55,26.92,25.24,26.21,18.35,23.21,21.43,54.55,1420,1420,1420,1420,1670,1670,1670,1401,52.70,24.00,-1,72,37.50,519,3.863
60,0,0,16.88,27.35,16.47,28.92,13.51,31.11,20.22,21.74,20.00,65.52,1420,1420,1420,1420,1670,1670,1670,1747,52.70,24.00,-1,72,37.50,475,3.863
54,1,1,100.72,33.18,35.14,39.62,34.26,41.07,22.73,33.63,30.63,28.83,1420,1420,1420,1420,1766,1766,1766,1075,54.30,22.00,-1,72,37.50,475,3.863
54,1,1,100.72,26.45,21.69,25.32,26.51,27.91,29.89,21.43,32.53,24.10,1420,1420,1420,1420,1670,1670,1670,1401,50.40,19.00,-1,72,37.50,475,3.863
